Country or Territory,Station Name,Jan,Jan Footnotes,Feb,Feb Footnotes,Mar,Mar Footnotes,Apr,Apr Footnotes,May,May Footnotes,Jun,Jun Footnotes,Jul,Jul Footnotes,Aug,Aug Footnotes,Sep,Sep Footnotes,Oct,Oct Footnotes,Nov,Nov Footnotes,Dec
ALGERIA,SKIKDA,115.3,,94,,75.6,,60.8,,29.9,,13.1,,2.9,,9.7,,30.1,,75,,99.2,,123
ALGERIA,SKIKDA,20.6,,0.6,,17.2,,7.8,,1.8,,0,,0,,0,,0,,3.9,,5.7,,21.5
ALGERIA,SKIKDA,52.1,,45,,33.2,,28.1,,11.6,,2.2,,0,,0.9,,10.4,,27.3,,47.6,,50.8
ALGERIA,SKIKDA,109.2,,76.7,,59.1,,44.2,,22.9,,7.6,,0.6,,2.1,,23.3,,62.9,,72.8,,79.8
ALGERIA,SKIKDA,134.2,,96.9,,86.9,,60.9,,31.8,,17.3,,1.6,,5.3,,33.8,,88.6,,117.5,,122.6
ALGERIA,SKIKDA,158,,125,,100.4,,84.1,,44.3,,21.8,,5.8,,16.7,,50.3,,99,,149.6,,186
ALGERIA,SKIKDA,218.6,,246.3,,172.5,,181,,81.5,,34.9,,13,,45.9,,81.5,,186.5,,231.8,,347.5
ALGERIA,ANNABA (Les Salines),92.7,,74.9,,67.7,,50.1,,30.7,,14.8,,2.8,,8,,30,,71.7,,74.4,,95.5
ALGERIA,ANNABA (Les Salines),15.1,,4.1,,11.8,,5.5,,0,,0,,0,,0,,1.5,,6.5,,4.2,,14.8
ALGERIA,ANNABA (Les Salines),42.7,,41.8,,35.6,,19.3,,15,,1.8,,0,,1.2,,10.1,,26,,37.5,,42.3
ALGERIA,ANNABA (Les Salines),75.1,,59.1,,48.5,,36.6,,22.8,,7,,0.1,,3,,19,,40.2,,47.9,,63.6
ALGERIA,ANNABA (Les Salines),103.5,,78,,70.4,,45.1,,33.3,,15.2,,1.5,,5.1,,27.4,,67.5,,78.3,,110.7
ALGERIA,ANNABA (Les Salines),130.5,,121.6,,92.3,,73.6,,49.1,,30.4,,3.9,,15.7,,54.2,,122,,128,,144.5
ALGERIA,ANNABA (Les Salines),226.7,,161.8,,223.5,,175.1,,68.5,,41.5,,18.5,,43.1,,89.1,,271.2,,172.9,,230.9
ALGERIA,ALGER ( dar el beida ),80,,81.8,,73.4,,61.1,,39.9,,16.7,,4.6,,7.4,,34.2,,76,,96.4,,115.2
ALGERIA,ALGER ( dar el beida ),3.7,,0,,8,,0.4,,0,,0,,0,,0,,0,,0,,10,,9.9
ALGERIA,ALGER ( dar el beida ),40.9,,29.6,,27.2,,26,,5.1,,2.5,,0,,0.2,,2.9,,25.9,,36.4,,58
ALGERIA,ALGER ( dar el beida ),59.4,,56.6,,48.2,,42.8,,13.8,,8.4,,0.2,,0.8,,11.1,,39.8,,69.3,,76.8
ALGERIA,ALGER ( dar el beida ),95.6,,87.3,,81.9,,63.9,,40.2,,14.9,,1.2,,3.4,,24.3,,90.1,,91.4,,117
ALGERIA,ALGER ( dar el beida ),123.5,,114,,110.9,,94.3,,84.6,,24.2,,6.1,,13.7,,64.1,,134.5,,167.2,,187.5
ALGERIA,ALGER ( dar el beida ),173.2,,346.1,,219.9,,195.1,,124.2,,71.3,,42.3,,40.3,,158,,253.2,,219.1,,253
ALGERIA,BEJAIA,99.7,,85.9,,100.4,,70.7,,41.2,,16.2,,5.8,,13,,40.4,,89.5,,99.7,,135
ALGERIA,BEJAIA,11.2,,0,,34.1,,15,,0.3,,0.1,,0,,0,,1,,0.9,,2.8,,10.1
ALGERIA,BEJAIA,43.3,,29.8,,49.5,,28.8,,13.3,,1.2,,0.3,,1.7,,3.4,,41.6,,47.6,,28.4
ALGERIA,BEJAIA,62.1,,54.9,,73.9,,43.3,,25,,6.4,,1.2,,3.4,,22.4,,51.3,,70.9,,69
ALGERIA,BEJAIA,98.5,,91.5,,101.7,,74.5,,47.1,,17,,3.8,,7.9,,41.8,,84.7,,102.2,,139.9
ALGERIA,BEJAIA,130.8,,130.7,,127.9,,107.6,,65.7,,26.6,,7.1,,24.4,,72.6,,120,,139.7,,224.1
ALGERIA,BEJAIA,299.1,,230,,252.9,,215.6,,89.7,,54.4,,47.3,,47,,106,,262.5,,228.8,,386.2
ALGERIA,CONSTANTINE (Ain El Bey),66.6,,58.3,,61.8,,53.2,,41.5,,20.9,,8.9,,12.2,,36.4,,38.4,,43.5,,71.1
ALGERIA,CONSTANTINE (Ain El Bey),12.1,,0,,15.5,,6.8,,0.4,,1.1,,0,,1.4,,0.1,,0,,0,,5
ALGERIA,CONSTANTINE (Ain El Bey),25,,28.4,,33.9,,23.1,,12,,3.6,,0.3,,3,,9.5,,10.7,,15.8,,23.8
ALGERIA,CONSTANTINE (Ain El Bey),47.2,,44.3,,50.9,,39.3,,29,,10,,2.3,,5.1,,22.9,,30.5,,26.7,,36.1
ALGERIA,CONSTANTINE (Ain El Bey),69,,61.9,,64.1,,50.7,,43.7,,13.9,,6.3,,10.8,,39,,44.3,,41.3,,76.1
ALGERIA,CONSTANTINE (Ain El Bey),108.5,,84.1,,88.3,,77.2,,69.4,,39.7,,15,,23.5,,57.7,,56.4,,71.9,,106
ALGERIA,CONSTANTINE (Ain El Bey),190.7,,164.3,,157.4,,191.8,,125,,91,,48.7,,40.9,,109.1,,115,,142.2,,328.1
ALGERIA,CHLEF,43.4,,56.7,,39.3,,39.9,,34,,10.5,,1.8,,6,,11.5,,51.3,,53,,61.9
ALGERIA,CHLEF,0,,0,,2.3,,0.7,,0,,0,,0,,0,,0,,0,,0,,7.2
ALGERIA,CHLEF,21,,14.3,,15.8,,19.7,,6.8,,1,,0,,0,,1.3,,11.9,,25.3,,35.1
ALGERIA,CHLEF,38.3,,46.1,,34.1,,27.9,,20.7,,5.4,,0,,0.1,,5.9,,35.1,,37.3,,49.7
ALGERIA,CHLEF,44.9,,57.1,,40.8,,39.9,,34.3,,9.3,,0.4,,1.1,,11.5,,51.3,,54.1,,70.3
ALGERIA,CHLEF,54.8,,96.8,,56.2,,54.1,,56.9,,17,,2.1,,6,,18.5,,74.5,,81,,87.3
ALGERIA,CHLEF,108.5,,141.2,,115.6,,138.2,,123.4,,56.1,,23.3,,75.8,,52,,254.9,,172.3,,128.6
ALGERIA,MILIANA,120.5,,124,,112.3,,71.3,,47.9,,16.8,,5.8,,7.1,,29.6,,68.9,,103.3,,119.8
ALGERIA,MILIANA,2.1,,0,,34.6,,1.4,,0.1,,0,,0,,0,,0,,2.7,,0,,1.2
ALGERIA,MILIANA,47.3,,34.5,,52.6,,33.3,,9,,5.6,,0,,0.4,,7.9,,10.3,,50.3,,64.4
ALGERIA,MILIANA,95.1,,101.4,,69.3,,54.6,,31,,13.9,,1.4,,3.2,,16.6,,24.6,,85.3,,94.1
ALGERIA,MILIANA,128.8,,127.3,,99,,84.5,,52.5,,17.3,,2.6,,6.6,,30.9,,71.9,,96.9,,119.3
ALGERIA,MILIANA,168,,206.1,,144.1,,98.9,,82.8,,22.9,,7.3,,9.4,,39.8,,123.1,,105.9,,145.2
ALGERIA,MILIANA,387,,281.9,,338,,173.6,,119,,41.7,,41.2,,23.3,,119.9,,194.6,,308.5,,312.1
ALGERIA,BATNA,24.9,,29.3,,38,,31.7,,32,,20.1,,7.5,,17.7,,37.3,,27.3,,31.7,,28.7
ALGERIA,BATNA,0.4,,0,,12.7,,5.9,,1.6,,0,,0,,0.2,,3.1,,0.6,,0.9,,1.2
ALGERIA,BATNA,4.2,,12.4,,16,,16.4,,5.1,,4.3,,0,,4.4,,10,,4.4,,7.6,,6.2
ALGERIA,BATNA,14.3,,18.8,,21.2,,23.2,,13.1,,12.8,,0.4,,8.6,,24.3,,17.9,,19.2,,15.9
ALGERIA,BATNA,25.8,,30.4,,35.7,,27,,28.2,,17,,1.5,,16.3,,41.8,,29.1,,24.2,,27.5
ALGERIA,BATNA,41.1,,40,,49.2,,39.7,,53.2,,27.5,,2.3,,24.7,,55.3,,40,,54.4,,49.7
ALGERIA,BATNA,60.6,,95.3,,110.4,,78,,102.8,,56.7,,90.1,,85.9,,90.3,,72.9,,94.2,,73.7
ALGERIA,TEBESSA,27.1,,30.3,,44.8,,30.6,,36.5,,31.2,,11.3,,25.1,,29.4,,23.6,,29,,23.6
ALGERIA,TEBESSA,3.1,,0,,7.9,,2.9,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,TEBESSA,13.7,,7.2,,21.2,,14.3,,13.5,,4.9,,0.1,,4.3,,9.9,,10.6,,4.7,,7.8
ALGERIA,TEBESSA,20,,21.5,,34.2,,22.4,,31.5,,16.2,,3.7,,10.7,,22.8,,18.6,,17.4,,11.5
ALGERIA,TEBESSA,24.7,,28.3,,40.1,,29.7,,39.2,,27.5,,11.5,,15.5,,29.7,,23.2,,27,,20.2
ALGERIA,TEBESSA,32.9,,45.7,,58.6,,41.8,,60.4,,58.2,,20,,40.4,,41.8,,27.5,,46,,39.4
ALGERIA,TEBESSA,89,,103.8,,171.1,,93.1,,83.2,,117.9,,57.7,,136.6,,112.7,,107,,134.5,,94.4
ALGERIA,ORAN ( es senia ),47.2,,45.5,,43.6,,43.3,,29.5,,8.4,,1.7,,1.9,,12.5,,31.1,,43.9,,61.6
ALGERIA,ORAN ( es senia ),0,,0,,3.3,,1.3,,0.1,,0,,0,,0,,0,,0,,0.3,,0
ALGERIA,ORAN ( es senia ),14.4,,8.1,,15,,14.9,,5.1,,0.8,,0,,0,,1.2,,5.7,,14.5,,21.9
ALGERIA,ORAN ( es senia ),34.1,,32.3,,24.6,,23.5,,11.6,,3.6,,0.1,,0.1,,7.4,,15.6,,22.4,,32.1
ALGERIA,ORAN ( es senia ),47.7,,57.6,,52.2,,37.5,,24.3,,6.7,,0.3,,0.3,,14.7,,32.9,,45.3,,55.3
ALGERIA,ORAN ( es senia ),82.1,,74.6,,70.5,,64.6,,53.4,,13.9,,1,,4.4,,22.6,,49.1,,77.8,,101.7
ALGERIA,ORAN ( es senia ),120.1,,143.8,,125.7,,159.5,,147.7,,36.1,,29.2,,13.5,,40.4,,170.8,,142.8,,188.9
ALGERIA,BISKRA,12.1,,8.6,,12,,10.4,,12.7,,5.9,,1.9,,6.1,,23.1,,16,,18.5,,7.3
ALGERIA,BISKRA,0,,0,,0,,0.2,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,BISKRA,0.7,,0.8,,1.7,,2.1,,1.2,,0,,0,,0,,0.3,,0.6,,1.6,,0.2
ALGERIA,BISKRA,3.2,,4,,5.8,,4.7,,4.4,,2,,0,,0.4,,3.1,,3.4,,7.4,,4.1
ALGERIA,BISKRA,9.1,,8.2,,10.2,,10.5,,8.5,,4.5,,0,,2.1,,6.5,,11.3,,18.5,,7.9
ALGERIA,BISKRA,18.3,,13.6,,21.2,,19.8,,24.1,,11.5,,1.2,,9,,25.4,,22.3,,29.8,,12.1
ALGERIA,BISKRA,87.1,,36.5,,49,,36.9,,57.3,,24.2,,34.4,,33.7,,297.5,,145.9,,73.9,,29.6
ALGERIA,DJELFA,33.4,,32.4,,38.1,,30.8,,36.1,,29.7,,9.4,,18.6,,25.7,,25.1,,37.2,,30.9
ALGERIA,DJELFA,0,,0.3,,1.7,,1.3,,1.7,,4.6,,0,,0.5,,0,,2.5,,0.7,,1.1
ALGERIA,DJELFA,8.2,,7.7,,13.6,,14.3,,8.1,,10.6,,0.8,,3.3,,3.9,,4,,16.8,,13.4
ALGERIA,DJELFA,18,,25.4,,20.7,,21.1,,21.5,,16.3,,1.5,,8.5,,12.8,,10.6,,24.4,,24.5
ALGERIA,DJELFA,31.8,,41.1,,37.1,,28.9,,43.4,,25.9,,5.9,,16.3,,24,,27.5,,43.7,,33
ALGERIA,DJELFA,48.6,,49.3,,69.5,,38.1,,61.3,,53,,11,,28.6,,39.1,,43.8,,54.1,,36.8
ALGERIA,DJELFA,117.1,,66,,78,,71.3,,84.4,,74.4,,47.2,,72.4,,72.9,,66.3,,79.8,,97.1
ALGERIA,EL OUED ( guemmar ),10.7,,9.3,,9.9,,7,,5.6,,2,,0.1,,1.1,,5.3,,7.8,,9.4,,7
ALGERIA,EL OUED ( guemmar ),0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,EL OUED ( guemmar ),0.7,,0.6,,1.8,,0.2,,0,,0,,0,,0,,0,,0.4,,0.1,,0.3
ALGERIA,EL OUED ( guemmar ),2.2,,1.5,,4.4,,1.8,,0.5,,0.5,,0,,0,,0.6,,0.6,,3.7,,1.7
ALGERIA,EL OUED ( guemmar ),7,,4.5,,7.1,,4.2,,3.8,,0.9,,0,,0,,1.9,,4.5,,8.2,,4.8
ALGERIA,EL OUED ( guemmar ),13.7,,15.9,,13.3,,8.4,,6.6,,1.9,,0.1,,0.6,,6.9,,16.8,,18.6,,7.2
ALGERIA,EL OUED ( guemmar ),78.8,,50.6,,48.7,,36.1,,43.3,,14.2,,1.5,,11,,32.6,,39.4,,25.9,,53.8
ALGERIA,GHARDAIA,7.9,,4.7,,6.6,,7.4,,4.4,,2.3,,0.3,,1.1,,4.8,,7.1,,12.1,,3
ALGERIA,GHARDAIA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,GHARDAIA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,GHARDAIA,0.4,,0.2,,0.4,,0.9,,1,,0,,0,,0,,1.2,,0.6,,3.2,,0
ALGERIA,GHARDAIA,6.8,,2.9,,4.2,,5.7,,4.2,,2.1,,0,,0,,4.4,,5.6,,9.1,,1.1
ALGERIA,GHARDAIA,9.3,,8.5,,8.6,,10,,7.5,,4.1,,0.4,,1.6,,9,,8.5,,16,,3.8
ALGERIA,GHARDAIA,47.5,,23.9,,40.7,,57.9,,15.9,,11.9,,3.8,,8.6,,18.5,,55.5,,101.4,,26.9
ALGERIA,BECHAR,10.2,,8,,6.2,,9.7,,6.6,,2.4,,0.9,,1.9,,5.9,,10.1,,10.8,,8.7
ALGERIA,BECHAR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,BECHAR,0,,0.5,,0,,0.1,,0.1,,0,,0,,0,,0.9,,0,,1,,0
ALGERIA,BECHAR,1.3,,2.3,,0.8,,1.6,,0.6,,0.3,,0,,0,,1.8,,0.6,,2.3,,1.6
ALGERIA,BECHAR,7.2,,6.7,,3.3,,10.1,,3.7,,0.9,,0.1,,0.5,,3.4,,3.6,,10.1,,7.1
ALGERIA,BECHAR,18.5,,14.9,,11,,19.4,,19.2,,4.4,,1.4,,1.8,,11.5,,10.8,,20.5,,12.8
ALGERIA,BECHAR,79.6,,53.1,,28.6,,46.8,,30.5,,23.7,,7,,20.8,,22.6,,99,,41.9,,58.3
ALGERIA,HASSI MESSAOUD,7,,4.4,,7.9,,3.7,,2.3,,0.9,,0.8,,0.8,,1.9,,4.8,,4.9,,4.4
ALGERIA,HASSI MESSAOUD,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,HASSI MESSAOUD,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,HASSI MESSAOUD,0.8,,0.1,,1,,0,,0,,0,,0,,0,,0,,0.1,,0.8,,0.1
ALGERIA,HASSI MESSAOUD,5.1,,2.3,,5.9,,0.9,,0,,0,,0,,0,,0,,1.2,,3.8,,0.6
ALGERIA,HASSI MESSAOUD,11.5,,6.5,,12.5,,4.2,,4.5,,0.7,,0,,0,,1.6,,5.4,,10.8,,7.7
ALGERIA,HASSI MESSAOUD,59.2,,26,,40.7,,26.8,,13.3,,15.5,,22.8,,23.8,,19.4,,43.6,,22.5,,29.6
ALGERIA,EL GOLEA,4.8,,2.4,,5.3,,1.7,,1.9,,0.7,,0.1,,0.2,,1,,2.5,,5.4,,6.2
ALGERIA,EL GOLEA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,EL GOLEA,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,EL GOLEA,0,,0.1,,0.7,,0,,0,,0,,0,,0,,0,,0,,0.6,,0.1
ALGERIA,EL GOLEA,1.5,,1.3,,2.1,,0.7,,0.6,,0,,0,,0,,0.1,,1,,1.8,,0.9
ALGERIA,EL GOLEA,5.4,,3.6,,7.8,,3.1,,1.3,,0.3,,0,,0,,2.1,,5.9,,6.9,,6
ALGERIA,EL GOLEA,46.8,,18,,39.5,,12.8,,16.9,,11.4,,1.4,,3.6,,8.9,,15.8,,45,,105.9
ALGERIA,BENI ABBES,3.1,,1.9,,1.6,,2.4,,2.3,,0.4,,0.5,,1.1,,1.9,,8.6,,6.7,,6.1
ALGERIA,BENI ABBES,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,BENI ABBES,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,BENI ABBES,0,,0,,0,,0.2,,0,,0,,0,,0,,0.1,,0,,1.5,,0.3
ALGERIA,BENI ABBES,0.2,,1.4,,0.2,,0.6,,0.3,,0,,0,,0,,1.4,,2.4,,5.9,,3.6
ALGERIA,BENI ABBES,3.3,,2.7,,1.7,,3.3,,1.8,,0.4,,0.4,,0.6,,2.5,,6.9,,10.1,,7.4
ALGERIA,BENI ABBES,24.2,,9.1,,15.1,,18.7,,14.4,,4.2,,6,,9.8,,8.7,,71,,40.9,,28.7
ALGERIA,TIMIMOUN,2.2,,1.8,,2.3,,2.2,,1.4,,0.1,,0,,0.2,,0.6,,2.6,,0.9,,1.7
ALGERIA,TIMIMOUN,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,TIMIMOUN,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,TIMIMOUN,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,TIMIMOUN,0.3,,0,,0.9,,0.2,,0,,0,,0,,0,,0,,1.5,,0.2,,0
ALGERIA,TIMIMOUN,1.8,,1.1,,1.9,,1.4,,0,,0,,0,,0,,0.5,,2.9,,1.2,,1.4
ALGERIA,TIMIMOUN,16.4,,14.1,,27.3,,32.5,,29.5,,2.1,,0.1,,3.2,,4.7,,27,,8,,17.4
ALGERIA,IN AMENAS,2.5,,1.5,,3.7,,1.2,,2,,1.3,,0,,0.5,,1.1,,3.7,,2.4,,3.3
ALGERIA,IN AMENAS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN AMENAS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN AMENAS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN AMENAS,0,,0.3,,1,,0,,0.7,,0,,0,,0,,0,,1.4,,0.3,,0.9
ALGERIA,IN AMENAS,3,,1.6,,4.7,,1.2,,3.6,,0.4,,0,,0,,0.6,,4.5,,2.9,,3.8
ALGERIA,IN AMENAS,19.6,,20.2,,34.6,,14.5,,17.4,,24.4,,0.2,,13.7,,10.6,,29,,22.9,,39.6
ALGERIA,ADRAR,2.3,,1.3,,2.6,,4.1,,0.3,,0.1,,0,,0.2,,0.2,,1.5,,0.6,,1.4
ALGERIA,ADRAR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,ADRAR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,ADRAR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,ADRAR,0,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,ADRAR,1.3,,1.5,,1,,0.8,,0,,0,,0,,0,,0.4,,1.6,,0.4,,1
ALGERIA,ADRAR,34.9,,10,,28,,84.2,,6.8,,1.4,,0.1,,2.3,,2.1,,22.3,,5.3,,16
ALGERIA,IN SALAH,3.7,,3.5,,1.2,,1.6,,0.5,,0.1,,0,,0.5,,0.2,,1.2,,0.5,,2.7
ALGERIA,IN SALAH,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN SALAH,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN SALAH,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN SALAH,0,,0.3,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,IN SALAH,3,,3.3,,1.8,,0.3,,0.4,,0,,0,,0.2,,0.1,,0.3,,0.2,,0.9
ALGERIA,IN SALAH,36,,39.3,,7.1,,25,,9,,1.1,,1.1,,6,,1.2,,12.9,,5.5,,34
ALGERIA,DJANET,0.6,,1.3,,2.5,,1.1,,1.1,,1.8,,0.1,,0.2,,2,,2,,0.5,,1.5
ALGERIA,DJANET,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,DJANET,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,DJANET,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,DJANET,0,,0,,0.3,,0.1,,0.9,,0,,0,,0,,1.7,,1.1,,0,,0
ALGERIA,DJANET,0,,0,,1.8,,1.8,,2.5,,1.3,,0,,0,,3.6,,3.5,,0.4,,1.6
ALGERIA,DJANET,4.2,,20.4,,37,,8.7,,3.8,,16.3,,1.7,,2.3,,8.1,,11.4,,4.3,,19
ALGERIA,TAMANRASSET,1.2,,1.3,,2.6,,1.8,,6.2,,3.9,,4.8,,5.6,,8.3,,3.2,,2.1,,1.8
ALGERIA,TAMANRASSET,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ALGERIA,TAMANRASSET,0,,0,,0,,0,,0,,0,,0,,0,,0.3,,0,,0,,0
ALGERIA,TAMANRASSET,0,,0,,0,,0,,0.2,,0.5,,0.5,,0.5,,0.9,,0.1,,0,,0
ALGERIA,TAMANRASSET,0,,0,,0,,0.2,,1.6,,2.8,,1.7,,1.9,,4.7,,0.8,,0,,0.1
ALGERIA,TAMANRASSET,0,,0.1,,1.6,,2.7,,5.5,,5.8,,9.2,,6.8,,20.1,,4.2,,0.6,,2.2
ALGERIA,TAMANRASSET,35.5,,16.9,,52,,17.5,,77.2,,26.1,,34.2,,66.7,,51.1,,36.8,,33.6,,31.3
